	CENTRO SUL	BARRA DO PIRAÍ	33034311	CE BARAO DO RIO BONITO
	CENTRO SUL	BARRA DO PIRAÍ	33034320	CE NILO PECANHA
	CENTRO SUL	BARRA DO PIRAÍ	33034443	CE DOUTOR ALVARO ROCHA
	CENTRO SUL	BARRA DO PIRAÍ	33034486	CE ISA FERNANDES
	CENTRO SUL	BARRA DO PIRAÍ	33034494	CE JOAQUIM DE MACEDO
	CENTRO SUL	BARRA DO PIRAÍ	33034508	CE SENADOR PAULO FERNANDES
	CENTRO SUL	BARRA DO PIRAÍ	33034516	EE PADRE ANTONIO PINTO
	CENTRO SUL	BARRA DO PIRAÍ	33034540	CE PROFESSOR JOSE ANTONIO MAIA VINAGRE
	CENTRO SUL	BARRA DO PIRAÍ	33034869	CE PROFESSOR ADELINO TERRA
	CENTRO SUL	BARRA DO PIRAÍ	33094420	CIEP 286 MURILO PORTUGAL
	CENTRO SUL	BARRA DO PIRAÍ	33098573	CIEP 310 PROFESSORA ALICE AIEX
	CENTRO SUL	COMENDADOR LEVY GASPARIAN	33017000	CE CORONEL ANTONIO PECANHA
	CENTRO SUL	ENGENHEIRO PAULO DE FRONTIN	33038023	CIEP 289 CECILIO BARBOSA DA PAIXAO
	CENTRO SUL	ENGENHEIRO PAULO DE FRONTIN	33038040	CE JOAO KOPKE
	CENTRO SUL	ENGENHEIRO PAULO DE FRONTIN	33038180	CE SACRA FAMILIA DO TINGUA
	CENTRO SUL	ITAGUAÍ	33044880	CIEP 498 IRMA DULCE
	CENTRO SUL	ITAGUAÍ	33044899	CIEP 048 DJALMA MARANHAO
	CENTRO SUL	ITAGUAÍ	33044929	CE CLODOMIRO VASCONCELOS
	CENTRO SUL	ITAGUAÍ	33044953	CE PROFESSOR NEY CIDADE PALMEIRO
	CENTRO SUL	ITAGUAÍ	33044961	CE PROFESSORA ELIANA DE ALMEIDA SANTOS
	CENTRO SUL	ITAGUAÍ	33045062	CE JOSE MARIA DE BRITO
	CENTRO SUL	ITAGUAÍ	33045070	CE PIRANEMA
	CENTRO SUL	ITAGUAÍ	33045089	CE SANDRA ROLDAN BARBOZA
	CENTRO SUL	ITAGUAÍ	33045291	CIEP 368 JOAO CONCEICAO CANUTO
	CENTRO SUL	ITAGUAÍ	33097135	CIEP 329 JUAN MARTINHO CARRASCO
	CENTRO SUL	ITAGUAÍ	33137846	CE MARIA IZABEL DO COUTO BRANDAO
	CENTRO SUL	MENDES	33038228	CE PROFESSOR ARAGAO GOMES
	CENTRO SUL	MENDES	33038260	CE DOUTOR JOAO NERY
	CENTRO SUL	MENDES	33038279	EE JAYME SICILIANO
	CENTRO SUL	MIGUEL PEREIRA	33038473	CE DOUTOR ANTONIO FERNANDES
	CENTRO SUL	MIGUEL PEREIRA	33038589	CE VERA CRUZ
	CENTRO SUL	MIGUEL PEREIRA	33038724	CE CARMEM DE LUCA ANDREIOLO
	CENTRO SUL	MIGUEL PEREIRA	33038791	CE ALVARO ALVIM
	CENTRO SUL	MIGUEL PEREIRA	33094098	CIEP 494 ALEXANDRE CARVALHO
	CENTRO SUL	PARACAMBI	33038872	CIEP 500 ANTONIO BOTELHO
	CENTRO SUL	PARACAMBI	33038880	CIEP 152 GARRINCHA ALEGRIA DO POVO
	CENTRO SUL	PARACAMBI	33038899	CIEP 385 PASTOR AUGUSTINHO VALERIO DE SOUZA
	CENTRO SUL	PARACAMBI	33038929	CE PRESIDENTE RODRIGUES ALVES
	CENTRO SUL	PARAÍBA DO SUL	33017093	CE MARIA ZULMIRA TORRES
